Complete Game Pass Master List by u/ABattleVet,512,,,,,,Playstation Plus,,,,See suggestions tab for color coding,,The community can add games to cross play/play anywhere,,Public Notes,
Game,System,xCloud,Status,Added,Removed,Months,Release,Age,Metacritic,Completion,Genre (Giantbomb),Xbox Series X|S,Owner Notes,ESRB,ESRB Content Descriptors,Community Notes
Bridge Constructor: Portal,Xbox / PC,Touch Controls,Removed,Jun 2019,Jun 2023,48.23,Dec 2017,1.47,78,14,Puzzle,,,E,Mild Fantasy Violence,
Floppy Knights,Xbox / PC,Touch Controls,Removed,May 2022,May 2023,12.23,May 2022,0.00,81,8,Strategy / Card Game,,,E10+,Fantasy Violence,
Lawn Mowing Simulator,Xbox / PC,Touch Controls,Removed,Dec 2021,May 2023,17.92,Aug 2021,0.31,71,17,Simulation,,Joined Xbox One 3/10/22,E,,
Evil Genius 2: World Domination,Xbox / PC,Yes,Removed,Nov 2021,May 2023,17.98,Mar 2021,0.70,76,29,Strategy / Simulation,,,T,"Fantasy Violence, Mild Language",Satirical evil lair builder strategy game
FIFA 21,Xbox / PC,,Removed,May 2021,May 2023,24.82,Oct 2020,0.58,77,81,Sports / Soccer,Optimized,,E,,
Europa Universalis IV,PC,,Removed,Dec 2019,May 2023,41.88,Aug 2013,6.31,87,225,Strategy,,,T,"Mild Violence, Mild Language, Drug Reference, Mild Sexual Themes",
Her Story,PC,,Removed,May 2022,May 2023,11.93,Jun 2015,6.90,86,2,Adventure / Simulation / Puzzle,,,M,"Sexual Themes, Strong Language",
Umurangi Generation - Special Edition,Xbox / PC,Touch Controls,Removed,May 2022,May 2023,11.93,Jun 2021,0.95,84,3,Adventure,,,T,Alcohol Reference,
Danganronpa 2: Goodbye Despair - Anniversary Edition,Xbox / PC,Touch Controls,Removed,May 2022,May 2023,12.16,Jul 2012,9.79,83,34,Adventure / Shooter / Music/Rhythm,,,M,"Blood, Sexual Themes, Strong Language, Violence",
Before We Leave,Xbox / PC,Yes,Removed,Dec 2021,May 2023,17.42,May 2021,0.55,72,12,Simulation,,,E10+,Fantasy Violence,
My Friend Pedro,Xbox / PC,Yes,Removed,Nov 2021,May 2023,17.85,Jun 2019,2.42,80,4,Action,FPS Boost,"Joined 12/5/19, left 1/15/21",M,"Blood and Gore, Language, Violence",
Hearts of Iron IV: Cadet Edition,PC,,Removed,Nov 2019,May 2023,41.98,Jun 2016,3.44,83,43,Strategy,,,T,"Violence, Blood, Use of Tobacco",
Bugsnax,Xbox / PC,Touch Controls,Removed,Apr 2022,Apr 2023,12.07,Nov 2020,1.46,77,8,Adventure,,,E10+,"Animated Blood, Crude Humor, Fantasy Violence, Suggestive Themes",
Unsouled,Xbox / PC,Yes,Removed,Apr 2022,Apr 2023,12.07,Nov 2021,0.44,84,2,Action / Role-Playing,,,M,"Violence, Blood and Gore",
Dragon Quest Builders 2,Xbox / PC,Yes,Removed,May 2021,Apr 2023,23.87,Jul 2019,1.81,85,56,Adventure / Role-Playing,,,E10+,"Alcohol Reference, Fantasy Violence, Mild Blood, Mild Language, Suggestive Themes, Comic Mischief",
Destroy All Humans! (2020),Xbox / PC,Yes,Removed,Apr 2021,Apr 2023,24.03,Jul 2020,0.75,70,8,Action,,,T,"Crude Humor, Sexual Themes, Drug Reference, Violence, Language, Animated Blood",
NHL 21,Xbox,,Removed,Apr 2021,Apr 2023,24.59,Oct 2020,0.49,81,9,Sports / Hockey,,,E10+,Mild Violence,
Tetris Effect: Connected,Xbox / PC,,Removed,Nov 2020,Apr 2023,29.62,Nov 2020,0.00,84,3,Puzzle,Optimized,,E,,
Battlefield 1943,Xbox,,Removed,Nov 2020,Apr 2023,29.56,Jul 2009,11.35,83,24,Action / First-Person Shooter / Vehicular Combat,,Delisted 4/28/23,T,Violence,Xbox 360
Battlefield: Bad Company,Xbox,,Removed,Nov 2020,Apr 2023,29.56,Jun 2008,12.39,83,8,Action / First-Person Shooter,,Delisted 4/28/23,T,"Alcohol Reference, Strong Language, Violence",Xbox 360
Battlefield: Bad Company 2,Xbox / PC,,Removed,Nov 2020,Apr 2023,29.56,Mar 2010,10.70,88,7,First-Person Shooter,,Delisted 4/28/23,M,"Blood, Strong Language, Violence",Xbox 360
Life Is Strange: True Colors,Xbox / PC,Touch Controls,Removed,Apr 2022,Apr 2023,12.10,Sep 2021,0.59,79,10,Adventure,,,M,"Use of Alcohol, Blood, Suggestive Themes, Drug Reference, Strong Language, Violence", 
Panzer Corps 2,PC,,Removed,Apr 2022,Apr 2023,12.10,Mar 2020,2.07,86,60,Strategy,,,E10+,"Mild Violence, Mild Language",
The Dungeon of Naheulbeuk: The Amulet of Chaos,Xbox / PC,Touch Controls,Removed,Mar 2022,Apr 2023,12.95,Aug 2020,1.55,75,31,Strategy / Role-Playing / Action-Adventure,,,M,"Blood, Violence, Suggestive Themes, Strong Language",
Tom Clancy's Rainbow Six: Extraction,Xbox / PC,Yes,Removed,Jan 2022,Apr 2023,14.79,Jan 2022,0.00,72,8,First-Person Shooter,,Ubisoft Connect launcher,M,"Blood, Drug Reference, Strong Language, Violence",
Moonglow Bay,Xbox / PC,Touch Controls,Removed,Oct 2021,Apr 2023,17.62,Oct 2021,0.00,76,23,Adventure / Fishing,Optimized,,E,,
The Riftbreaker,Xbox / PC,Yes,Removed,Oct 2021,Apr 2023,18.02,Oct 2021,0.00,81,22,Action / Strategy,"Exclusive, Optimized",,T,"Blood and Gore, Violence",RTS/Twin stick shooter singleplayer
The Long Dark,Xbox / PC,Yes,Removed,Apr 2020,Apr 2023,35.97,Aug 2017,2.71,76,18,Adventure,,,T,"Blood, Violence, Language",
Chinatown Detective Agency,Xbox / PC,Touch Controls,Removed,Apr 2022,Mar 2023,11.77,Apr 2022,0.00,67,7,Puzzle / Action-Adventure,,,T,"Violence, Blood, Suggestive Themes, Use of Alcohol And Tobacco, Language",
MLB The Show 22,Xbox,Touch Controls,Removed,Apr 2022,Mar 2023,11.84,Apr 2022,0.00,80,214,Sports / Baseball,,,E,,
A Memoir Blue,Xbox / PC,Touch Controls,Removed,Mar 2022,Mar 2023,12.23,Mar 2022,0.00,74,1,Adventure,,,E,,
Kraken Academy!!,Xbox / PC,Touch Controls,Removed,Mar 2022,Mar 2023,12.30,Mar 2022,0.00,60,8,Adventure,,,E10+,"Crude Humor, Mild Fantasy Violence",
Power Rangers: Battle for the Grid,Xbox / PC,Yes,Removed,Mar 2020,Mar 2023,36.16,Mar 2019,1.00,53,2,Fighting,FPS Boost,,T,Violence,
ClusterTruck,Xbox / PC,Yes,Removed,Apr 2018,Mar 2023,60.00,Sep 2016,1.51,69,4,Platformer,,,E,Mild Violence,
Double Dragon Neon,Xbox,Touch Controls,Removed,Jun 2017,Mar 2023,69.99,Sep 2012,4.72,66,4,Adventure,,,T,"Fantasy Violence, Partial Nudity, Suggestive Themes",Xbox 360
Zero Escape: The Nonary Games,Xbox / PC,Touch Controls,Removed,Mar 2022,Mar 2023,11.77,Mar 2017,5.00,86,34,Adventure / Compilation / Puzzle,,,M,"Blood, Drug Reference, Sexual Themes, Strong Language, Violence",Native touch controls
Paradise Killer,Xbox / PC,Touch Controls,Removed,Mar 2022,Mar 2023,11.97,Sep 2020,1.47,81,12,Adventure,,,M,"Violence, Blood, Sexual Themes, Strong Language",
Kentucky Route Zero,Xbox / PC,Touch Controls,Removed,Mar 2022,Mar 2023,12.16,Feb 2013,9.05,87,10,Adventure,,,T,"Language, Use of Drugs",
Marvel's Guardians of the Galaxy,Xbox / PC,Yes,Removed,Mar 2022,Mar 2023,12.16,Oct 2021,0.37,81,17,Action-Adventure,,,T,"Language, Mild Blood, Mild Suggestive Themes, Use of Alcohol, Violence",Square Enix - likely 1 year
Young Souls,Xbox / PC,Touch Controls,Removed,Mar 2022,Mar 2023,12.16,Aug 2021,0.56,83,22,Brawler / Action-Adventure,,,M,"Drug Reference, Fantasy Violence, Strong Language",
F1 2020,Xbox,,Removed,Aug 2021,Mar 2023,19.13,Jul 2020,1.08,91,32,Driving/Racing,,,E,,
Undertale,Xbox / PC,Yes,Removed,Jul 2019,Mar 2023,44.38,Sep 2015,3.80,92,7,Role-Playing,,,E10+,"Fantasy Violence, Mild Blood, Use of Tobacco, Mild Language, Simulated Gambling",
Lightning Returns: Final Fantasy XIII,Xbox / PC,,Removed,Mar 2022,Feb 2023,11.90,Nov 2013,8.28,68,34,Action / Role-Playing,,,T,"Blood, Mild Language, Suggestive Themes, Use of Alcohol, Violence","Square Enix - likely 1 year, Xbox 360"
FAR: Changing Tides,Xbox / PC,Touch Controls,Removed,Mar 2022,Feb 2023,11.97,Mar 2022,0.00,77,5,Adventure / Puzzle,,,E,,
Dragon Ball FighterZ,Xbox / PC,Yes,Removed,Oct 2021,Feb 2023,16.27,Jan 2018,3.74,86,12,Fighting,,Joined PC 2/24/22,T,"Cartoon Violence, Mild Language, Mild Suggestive Themes",Bandai Namco - Likely 1 year
Crown Trick,Xbox / PC,Touch Controls,Removed,Sep 2021,Feb 2023,17.72,Oct 2020,0.89,83,17,Strategy / Role-Playing / Action-Adventure,,,T,"Fantasy Violence, Simulated Gambling",
Octopath Traveler,Xbox / PC,Touch Controls,Removed,Mar 2021,Feb 2023,23.18,Jul 2018,2.70,80,61,Role-Playing,,,T,"Blood, Fantasy Violence, Mild Language, Suggestive Themes, Use of Alcohol",
Madden NFL 21,Xbox / PC,,Removed,Mar 2021,Feb 2023,23.93,Aug 2020,0.51,66,22,Sports / Football,Optimized,,E,Mild Lyrics,
Alien: Isolation,Xbox / PC,,Removed,Feb 2019,Feb 2023,48.03,Oct 2014,4.40,78,19,Action-Adventure,FPS Boost,,M,"Blood, Strong Language, Violence",
Infernax,Xbox / PC,Yes,Removed,Feb 2022,Feb 2023,12.10,Feb 2022,0.00,85,7,Action-Adventure,,,M,"Blood and Gore, Violence, Partial Nudity",
CrossfireX,Xbox,Yes,Removed,Feb 2022,Feb 2023,12.16,Feb 2022,0.00,43,3,Shooter,,"2 campaigns, Operation Catalyst included, Operation Spectre not included. Multiplayer free",M,"Intense Violence, Blood, Language",
Skul: The Hero Slayer,Xbox / PC,Yes,Removed,Feb 2022,Feb 2023,12.16,Feb 2020,1.98,80,22,Platformer,,,T,"Blood, Violence",
The Last Kids on Earth and the Staff of Doom,Xbox / PC,Touch Controls,Removed,Feb 2022,Feb 2023,12.16,Jun 2021,0.69,60,6,Action / Role-Playing,,,E10+,Fantasy Violence,
Recompile,Xbox / PC,Yes,Removed,Aug 2021,Feb 2023,17.92,Aug 2021,0.00,64,5,Action-Adventure,"Exclusive, Optimized",,T,Violence,
Telling Lies,Xbox / PC,Touch Controls,Removed,Feb 2022,Jan 2023,11.90,Aug 2019,2.45,82,4,Adventure,,,M,"Drug Reference, Sexual Content, Strong Language, Violence",
Taiko no Tatsujin: The Drum Master,Xbox / PC,,Removed,Jan 2022,Jan 2023,12.13,Jan 2022,0.02,80,3,Music/Rhythm,,,T,"Suggestive Themes, Drug Reference",Bandai Namco - Likely 1 year
Donut County,Xbox / PC,Touch Controls,Removed,Jan 2021,Jan 2023,24.33,Aug 2018,2.40,82,2,Action,,Official PC Mod Support,E,"Mild Fantasy Violence, Comic Mischief",
Worms W.M.D,Xbox / PC,Yes,Removed,Jul 2019,Jan 2023,42.35,Aug 2016,2.92,75,13,Action,,Left EA Play 10/23/21,E10+,"Cartoon Violence, Crude Humor, Language",
Pupperazzi,Xbox / PC,Touch Controls,Removed,Jan 2022,Jan 2023,11.84,Jan 2022,0.00,68,2,Adventure,,,E,Alcohol Reference,
Windjammers 2,Xbox / PC,Touch Controls,Removed,Jan 2022,Jan 2023,11.84,Jan 2022,0.00,74,1,Action / Sports,,,E,,
Danganronpa: Trigger Happy Havoc - Anniversary Edition,Xbox / PC,Touch Controls,Removed,Jan 2022,Jan 2023,11.90,Nov 2010,11.16,82,25,Adventure / Shooter / Music/Rhythm,,,M,"Blood, Intense Violence, Strong Language, Suggestive Themes",Native touch controls
Nobody Saves the World,Xbox / PC,Yes,Removed,Jan 2022,Jan 2023,11.90,Jan 2022,0.00,79,14,Action / Role-Playing,,,T,"Violence, Blood, Sexual Themes, Language",
The Anacrusis (Game Preview),Xbox / PC,Yes,Removed,Jan 2022,Jan 2023,12.07,Jan 2022,0.00,55,6,Shooter,,,T,"Violence, Blood",
We Happy Few,Xbox / PC,Yes,Removed,Jan 2019,Jan 2023,47.97,Aug 2018,0.44,64,21,Adventure / First-Person Shooter,Optimized,,M,"Use Of Drugs And Alcohol, Blood, Suggestive Themes, Strong Language, Violence",
Embr,Xbox / PC,Yes,Removed,Jan 2022,Dec 2022,11.80,May 2020,1.63,72,8,Action,,,E10+,"Mild Violence, Comic Mischief, Alcohol Reference",
Outer Wilds,Xbox / PC,Yes,Removed,Jan 2022,Dec 2022,11.80,May 2019,2.61,85,15,Adventure,,"Added 5/30/19, left 6/30/21",E10+,"Fantasy Violence, Alcohol Reference",
Gorogoa,Xbox / PC,Yes,Removed,Jan 2022,Dec 2022,11.87,Dec 2017,4.06,82,2,Adventure / Puzzle,,,E,,
The Pedestrian,Xbox / PC,Touch Controls,Removed,Jan 2022,Dec 2022,11.87,Jan 2020,1.93,81,4,Puzzle / Platformer,,,E10+,"Fantasy Violence, Mild Blood",
Scarlet Nexus,Xbox / PC,Yes,Removed,Sep 2021,Dec 2022,15.02,Jun 2021,0.27,78,25,Action / Role-Playing,,,T,"Alcohol Reference, Blood, Mild Language, Violence",Bandai Namco - Likely 1 year (probably came onto gamepass because of low sales)
Immortal Realms: Vampire Wars,Xbox / PC,Yes,Removed,Jul 2021,Dec 2022,18.02,Oct 2019,1.72,69,21,Strategy / Card Game,,,M,"Blood, Violence",Bandai Namco - Likely 1 year (probably came onto gamepass because of low sales)
Iron Harvest,PC,,Removed,Jun 2021,Dec 2022,18.25,Sep 2020,0.81,75,23,Real-Time Strategy,,,M,"Violence, Blood, Strong Language",Bandai Namco - Likely 1 year (probably came onto gamepass because of low sales)
Tropico 6,Xbox / PC,Touch Controls,Removed,Mar 2021,Dec 2022,21.47,Mar 2019,1.97,78,27,Strategy / Simulation,,Removed from EA Play 5/20/21,T,"Mild Language, Drug Reference, Violence",Bandai Namco - Likely 1 year (probably came onto gamepass because of low sales)
Secret Neighbor,Xbox / PC,Yes,Removed,Oct 2019,Dec 2022,38.30,Oct 2019,0.00,70,3,Action,,,T,Mild Violence,
Lake,Xbox / PC,Touch Controls,Removed,Dec 2021,Dec 2022,11.97,Sep 2021,0.29,73,7,Adventure,,,M,"Suggestive Themes, Use Of Drugs And Alcohol, Strong Language",
Race With Ryan,Xbox / PC,Touch Controls,Removed,Dec 2021,Dec 2022,11.97,Nov 2019,2.13,51,1,Driving/Racing,,,E,Comic Mischief,also 3MGP's waifu
Record of Lodoss War: Deedlit in Wonder Labyrinth,Xbox / PC,Yes,Removed,Dec 2021,Dec 2022,11.97,Mar 2020,1.76,73,6,Platformer / Action-Adventure,,,E10+,"Fantasy Violence, Mild Blood, Mild Language",3MGP's waifu
Transformers: Battlegrounds,Xbox / PC,Touch Controls,Removed,Dec 2021,Dec 2022,11.97,Oct 2020,1.15,71,9,Strategy,,,E10+,Fantasy Violence,
Aliens: Fireteam Elite,Xbox / PC,Yes,Removed,Dec 2021,Dec 2022,12.03,Aug 2021,0.31,70,9,Action,,,M,"Blood and Gore, Strong Language, Violence",
One Piece: Pirate Warriors 4,Xbox / PC,Touch Controls,Removed,Dec 2021,Dec 2022,12.20,Mar 2020,1.71,76,16,Brawler,,,T,"Suggestive Themes, Violence, Language, Use of Alcohol And Tobacco",
Breathedge,Xbox / PC,Yes,Removed,Sep 2021,Dec 2022,15.19,Sep 2018,2.99,71,6,Adventure,,"EA Play: joined 3/18/21, left 3/29/21",T,"Blood, Crude Humor, Mild Language, Mild Violence, Suggestive Themes, Use of Alcohol And Tobacco",
Neoverse,Xbox / PC,Touch Controls,Removed,Dec 2020,Dec 2022,23.93,Jan 2019,1.94,68,3,Strategy / Role-Playing / Card Game,,,T,"Violence, Blood, Suggestive Themes",
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,Xbox / PC,Touch Controls,Removed,Dec 2020,Dec 2022,24.36,Jul 2017,3.35,91,56,Role-Playing,,,T,"Use of Alcohol, Fantasy Violence, Crude Humor, Mild Blood, Suggestive Themes, Simulated Gambling",Square Enix - Likely 1 year
Rory McIlroy PGA Tour,Xbox,,Removed,Nov 2020,Dec 2022,25.15,Jul 2015,5.33,60,40,Sports / Golf,,,E,,
Space Warlord Organ Trading Simulator,Xbox / PC,Touch Controls,Removed,Dec 2021,Nov 2022,11.77,Dec 2021,0.00,70,2,Simulation,,,T,"Violence, Blood, Suggestive Themes, Drug Reference, Language",
Archvale,Xbox / PC,Touch Controls,Removed,Dec 2021,Nov 2022,11.93,Dec 2021,0.00,84,9,Dual-Joystick Shooter / Action-Adventure,,,T,"Blood, Violence",
Final Fantasy XIII-2,Xbox / PC,,Removed,Dec 2021,Nov 2022,11.93,Dec 2011,9.97,79,28,Role-Playing,,,T,"Mild Language, Drug Reference, Violence, Simulated Gambline, Mild Suggestive Themes","Square Enix - likely 1 year, Xbox 360"
"Warhammer 40,000: Battlesector",Xbox / PC,Yes,Removed,Dec 2021,Nov 2022,11.93,Jul 2021,0.38,74,20,Strategy,,,M,"Violence, Blood",
Mind Scanners,Xbox / PC,Yes,Removed,Dec 2021,Nov 2022,11.97,May 2021,0.53,75,3,Adventure / Role-Playing / Strategy / Simulation,,,M,"Blood, Sexual Themes, Strong Language, Use of Drugs, Violence",
DEEEER Simulator,Xbox / PC,Yes,Removed,Nov 2021,Nov 2022,12.23,Jan 2020,1.84,47,1,Action,,,T,Violence,
Undungeon,Xbox / PC,Touch Controls,Removed,Nov 2021,Nov 2022,12.39,Nov 2021,0.00,70,4,Role-Playing,,,T,"Violence, Blood, Use of Tobacco, Language",
Fae Tactics,Xbox / PC,Touch Controls,Removed,Nov 2021,Nov 2022,11.90,Jul 2020,1.30,77,33,Strategy / Role-Playing,,,E10+,"Fantasy Violence, Mild Blood, Mild Language",
Next Space Rebels,Xbox / PC,Yes,Removed,Nov 2021,Nov 2022,11.93,Nov 2021,0.00,72,18,Simulation,,,M,"Suggestive Themes, Drug Reference, Strong Language",Youtuber + Rocket Building Simulator
One Step from Eden,Xbox / PC,Touch Controls,Removed,Nov 2021,Nov 2022,12.13,Mar 2020,1.63,82,8,Action / Card Game,,,E10+,"Fantasy Violence, Mild Blood, Mild Language, Suggestive Themes",Pretty Fun Roguelike - Actually Quite Difficult (Also Humble - Likely 2 Years)
art of rally,Xbox / PC,Touch Controls,Removed,Aug 2021,Nov 2022,15.12,Sep 2020,0.88,80,17,Driving/Racing,Optimized,,E,,
Supraland,Xbox / PC,,Removed,Oct 2020,Nov 2022,24.79,Apr 2019,1.55,82,13,Action-Adventure,,,T,"Crude Humor, Fantasy Violence, Mild Language",
Subnautica,Xbox / PC,Yes,Removed,Nov 2019,Nov 2022,36.30,Jan 2018,1.79,81,27,Adventure,Optimized,,E10+,"Fantasy Violence, Mild Language",
Football Manager 2022,Xbox / PC,Touch Controls,Removed,Nov 2021,Nov 2022,11.97,Nov 2021,0.00,86,85,Sports / Simulation / Soccer,,,E,,
Alan Wake’s American Nightmare,Xbox / PC,,Removed,Oct 2021,Oct 2022,12.10,Feb 2012,9.69,75,4,Shooter / Action-Adventure,,,T,"Suggestive Themes, Violence, Blood, Language",Xbox 360
Bassmaster Fishing 2022,Xbox / PC,Yes,Removed,Oct 2021,Oct 2022,12.10,Oct 2021,0.00,75,,Sports / Fishing,Optimized,,E,,
Nongunz: Doppelganger Edition,Xbox / PC,Yes,Removed,Oct 2021,Oct 2022,12.10,May 2021,0.48,78,20,Action / Action-Adventure,,,T,"Blood and Gore, Violence",
The Forgotten City,Xbox / PC,Touch Controls,Removed,Oct 2021,Oct 2022,12.10,Jul 2021,0.25,86,5,Adventure / Role-Playing,Optimized,,T,"Alcohol Reference, Blood, Mild Language, Suggestive Themes, Violence",Based off of a popular Skyrim mod!
Project Wingman,Xbox / PC,Yes,Removed,Jul 2021,Oct 2022,15.09,Dec 2020,0.66,75,11,Action / Flight Simulator,,,T,"Mild Violence, Language",
Backbone,Xbox / PC,Yes,Removed,Jun 2021,Oct 2022,16.77,Jun 2021,0.00,73,5,Action / Adventure / Role-Playing / Puzzle,Optimized,Joined console on 10/28,M,"Sexual Themes, Use of Drugs, Strong Language",
Second Extinction (Game Preview),Xbox / PC,Yes,Removed,Apr 2021,Oct 2022,18.12,Oct 2020,0.54,69,6,First-Person Shooter,Optimized,,M,"Intense Violence, Blood, Language",
Sniper Elite 4,Xbox,Yes,Removed,Nov 2018,Oct 2022,48.00,Feb 2017,1.71,81,10,Action / Adventure / Shooter,,,M,"Blood and Gore, Language, Intense Violence",
Echo Generation,Xbox / PC,Touch Controls,Removed,Oct 2021,Oct 2022,11.80,Oct 2021,0.00,76,7,Adventure,Optimized,,E10+,"Fantasy Violence, Mild Blood, Mild Language",
Into the Pit,Xbox / PC,Yes,Removed,Oct 2021,Oct 2022,11.87,Oct 2021,0.00,71,4,First-Person Shooter,,,T,"Violence, Blood",Humble - Likely 2 years
The Good Life,Xbox / PC,Touch Controls,Removed,Oct 2021,Oct 2022,12.00,Oct 2021,0.00,61,20,Action / Adventure / Role-Playing / Simulation,,,T,"Blood, Violence, Use of Alcohol and Tobacco, Mild Language, Crude Humor",
Ring of Pain,Xbox / PC,Touch Controls,Removed,Oct 2021,Oct 2022,12.03,Oct 2020,1.00,74,8,Strategy / Card Game,,,E10+,Fantasy Violence,
Sable,Xbox / PC,Touch Controls,Removed,Sep 2021,Oct 2022,12.72,Sep 2021,0.00,74,7,Adventure,,,E10+,"Mild Language, Crude Humor",
Bloodroots,Xbox / PC,Touch Controls,Removed,Jul 2021,Oct 2022,15.02,Feb 2020,1.38,76,6,Action,,,M,"Violence, Blood and Gore, Strong Language",
DiRT 4,Xbox,,Removed,Aug 2021,Oct 2022,13.78,Jun 2017,4.18,86,31,Sports / Driving/Racing / Simulation,FPS Boost X Only,"GP: Added 7/1/18, left 2/15/21",E,,Does not FPS boost on Series S
DiRT Rally,Xbox,,Removed,Aug 2021,Oct 2022,13.78,Dec 2015,5.68,86,28,Driving/Racing,,"GP: Added 8/1/17, left 8/1/17",E,,
The Procession to Calvary,Xbox / PC,Touch Controls,Removed,Oct 2021,Sep 2022,11.77,Apr 2020,1.50,78,3,Adventure,,,M,"Blood, Language, Partial Nudity, Sexual Themes, Violence",
Visage,Xbox / PC,Touch Controls,Removed,Oct 2021,Sep 2022,11.77,Oct 2018,3.02,80,6,Adventure / Puzzle,Optimized,,M,"Blood and Gore, Intense Violence, Strong Language, Use of Alcohol",
AI: The Somnium Files,Xbox / PC,Yes,Removed,Sep 2021,Sep 2022,12.00,Sep 2019,2.04,86,24,Adventure,,,M,"Blood and Gore, Intense Violence, Strong Language, Suggestive Themes",Spike Chunsoft on game pass!!!
Astria Ascending,Xbox / PC,Touch Controls,Removed,Sep 2021,Sep 2022,12.00,Sep 2021,0.00,68,30,Role-Playing,,,T,"Fantasy Violence, Suggestive Themes",Publisher takes forever to patch this version vs other platforms
Unsighted,Xbox / PC,,Removed,Sep 2021,Sep 2022,12.00,Sep 2021,0.00,80,8,Action-Adventure,,,T,"Blood, Violence",Humble - Likely 2 years
Dandy Ace,Xbox / PC,Touch Controls,Removed,Sep 2021,Sep 2022,12.07,Mar 2021,0.51,80,8,Action,,,E10+,Fantasy Violence,
Lemnis Gate,Xbox / PC,,Removed,Sep 2021,Sep 2022,12.07,Sep 2021,0.00,78,60,First-Person Shooter,,,T,Violence,Time travel shooter chess match
Subnautica: Below Zero,Xbox / PC,Yes,Removed,Sep 2021,Sep 2022,12.23,Jan 2019,2.65,83,20,Adventure,,,E10+,"Animated Blood, Fantasy Violence, Mild Language",
Going Under,Xbox / PC,Touch Controls,Removed,Jun 2021,Sep 2022,15.06,Sep 2020,0.76,76,8,Action,,,T,"Fantasy Violence, Mild Blood, Mild Language, Mild Suggestive Themes",
Slime Rancher,Xbox / PC,Yes,Removed,Dec 2020,Sep 2022,21.90,Aug 2017,3.34,80,15,Adventure / First-Person Shooter,,,E10+,Fantasy Violence,
Mighty Goose,Xbox / PC,Touch Controls,Removed,Sep 2021,Sep 2022,11.51,Jun 2021,0.32,71,2,Action / Shooter,,,T,"Blood, Violence",
Lost Words: Beyond the Page,Xbox / PC,Touch Controls,Removed,Sep 2021,Sep 2022,11.74,Mar 2020,1.49,77,5,Adventure / Platformer,,,E,"Mild Fantasy Violence, Mild Language",
I Am Fish,Xbox / PC,Touch Controls,Removed,Sep 2021,Sep 2022,11.97,Sep 2021,0.00,69,5,Adventure / Simulation,,,T,"Violence, Blood, Use of Alcohol, Crude Humor",
SkateBird,Xbox / PC,Touch Controls,Removed,Sep 2021,Sep 2022,11.97,Sep 2021,0.00,62,6,Skateboarding,,,T,Lyrics,
Flynn: Son of Crimson,Xbox / PC,Touch Controls,Removed,Sep 2021,Sep 2022,12.00,Sep 2021,0.00,85,6,Action / Platformer,,,E10+,Fantasy Violence,Humble - likely 2 years
The Artful Escape,Xbox / PC,Touch Controls,Removed,Sep 2021,Sep 2022,12.20,Sep 2021,0.00,81,5,Platformer,,,E10+,"Use of Tobacco, Alcohol Reference, Mild Suggestive Themes, Language",
Craftopia,Xbox / PC,Yes,Removed,Sep 2021,Sep 2022,12.43,Sep 2020,0.99,70,27,Action-Adventure,,,T,"Violence, Crude Humor",
Final Fantasy XIII,Xbox / PC,,Removed,Sep 2021,Sep 2022,12.43,Mar 2010,11.49,74,49,Role-Playing,,,T,"Suggestive Themes, Strong Language, Violence","PlayStation 3, Xbox 360, PC, Square Enix - likely 1 year"
Bug Fables: The Everlasting Sapling,Xbox / PC,Touch Controls,Removed,Jul 2021,Sep 2022,14.50,Nov 2019,1.61,86,26,Role-Playing,,,E,Mild Fantasy Violence,
A Plague Tale: Innocence,Xbox / PC,Yes,Removed,Jan 2020,Sep 2022,31.76,May 2019,0.70,83,11,Action-Adventure,Optimized,,M,"Blood and Gore, Strong Language, Violence",
Capsized,PC,,Removed,Mar 2021,Jun 2022,14.86,Apr 2011,9.89,80,4,Action / Platformer,,,T,"Violence, Blood",PC
Cryptark,PC,,Removed,Mar 2021,Jun 2022,14.86,Jun 2017,3.75,80,5,Action / Dual-Joystick Shooter,,,T,"Violence, Blood",PC
Diluvion: Resubmerged,PC,,Removed,Mar 2021,Jun 2022,14.86,Jan 2017,4.18,66,13,Adventure / Puzzle,,,T,"Alcohol Reference, Fantasy Violence, Language",
Dungeons of Dredmor: Complete,PC,,Removed,Mar 2021,Jun 2022,14.86,Jul 2011,9.69,79,17,Strategy / Role-Playing,,,NR,,
Epistory: Typing Chronicles,PC,,Removed,Mar 2021,Jun 2022,14.86,Mar 2016,4.97,74,6,Adventure / Educational / Text Adventure,,,E,"Alcohol Reference, Mild Fantasy Violence",
HIVESWAP: Act 1,PC,,Removed,Mar 2021,Jun 2022,14.86,Sep 2017,3.51,78,3,Adventure,,,E10+,"Alcohol Reference, Comic Mischief, Fantasy Violence, Language, Mild Blood, Suggestive Themes",
Stealth Bastard Deluxe,PC,,Removed,Mar 2021,Jun 2022,14.86,Nov 2012,8.31,80,6,Puzzle / Platformer,,,T,"Blood and Gore, Fantasy Violence, Language",
NBA 2K22,Xbox,Yes,Removed,Apr 2022,Aug 2022,4.11,Sep 2021,0.63,76,125,Sports / Basketball,,,E,,
Signs of the Sojourner,Xbox / PC,Touch Controls,Removed,Sep 2021,Aug 2022,11.93,May 2020,1.30,77,4,Card Game,,,E10+,"Mild Language, Mild Violence, Alcohol And Tobacco Reference",Xbox 360
